question,intent,tables,columns,filters,joins,group_by,order_by,notes,raw_json
List all products,List,"[""products""]","[""*""]",[],[],[],[],Assuming all columns from the products table are to be listed.,"{""intent"": ""List"", ""tables"": [""products""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming all columns from the products table are to be listed.""}"
Get all customers,List,"[""customers""]","[""*""]",[],[],[],[],Assuming 'customers' is the name of the table containing customer information.,"{""intent"": ""List"", ""tables"": [""customers""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'customers' is the name of the table containing customer information.""}"
Show all orders,List,"[""orders""]","[""*""]",[],[],[],[],Assuming all columns from the orders table are to be displayed.,"{""intent"": ""List"", ""tables"": [""orders""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming all columns from the orders table are to be displayed.""}"
List all employees,List,"[""employees""]","[""*""]",[],[],[],[],Assuming 'employees' is the name of the table containing employee data.,"{""intent"": ""List"", ""tables"": [""employees""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'employees' is the name of the table containing employee data.""}"
Get all offices,List,"[""offices""]","[""*""]",[],[],[],[],Assuming 'offices' is the name of the table containing office information.,"{""intent"": ""List"", ""tables"": [""offices""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'offices' is the name of the table containing office information.""}"
Show all product lines,List,"[""product_lines""]","[""*""]",[],[],[],[],Assuming 'product_lines' is the table containing the product line information.,"{""intent"": ""List"", ""tables"": [""product_lines""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'product_lines' is the table containing the product line information.""}"
List all payments,List,"[""payments""]","[""*""]",[],[],[],[],Assuming all columns from the payments table are needed.,"{""intent"": ""List"", ""tables"": [""payments""], ""columns"": [""*""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming all columns from the payments table are needed.""}"
Get product names and prices,List,"[""products""]","[""product_name"", ""price""]",[],[],[],[],Assuming the table is named 'products' and contains columns 'product_name' and 'price'.,"{""intent"": ""List"", ""tables"": [""products""], ""columns"": [""product_name"", ""price""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming the table is named 'products' and contains columns 'product_name' and 'price'.""}"
Get customer names and cities,List,"[""customers""]","[""customer_name"", ""city""]",[],[],[],[],Assuming 'customers' is the table containing customer information.,"{""intent"": ""List"", ""tables"": [""customers""], ""columns"": [""customer_name"", ""city""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'customers' is the table containing customer information.""}"
List employee first and last names,List,"[""employees""]","[""first_name"", ""last_name""]",[],[],[],[],Assuming the table containing employee information is named 'employees' and the columns for names are 'first_name' and 'last_name'.,"{""intent"": ""List"", ""tables"": [""employees""], ""columns"": [""first_name"", ""last_name""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming the table containing employee information is named 'employees' and the columns for names are 'first_name' and 'last_name'.""}"
Get all order dates,List,"[""orders""]","[""order_date""]",[],[],[],[],Assuming 'order_date' is a column in the 'orders' table.,"{""intent"": ""List"", ""tables"": [""orders""], ""columns"": [""order_date""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'order_date' is a column in the 'orders' table.""}"
Show product vendor list,List,"[""product_vendors""]","[""vendor_name""]",[],[],[],[],Assuming 'product vendor list' refers to a table named 'product_vendors' with a column 'vendor_name'.,"{""intent"": ""List"", ""tables"": [""product_vendors""], ""columns"": [""vendor_name""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'product vendor list' refers to a table named 'product_vendors' with a column 'vendor_name'.""}"
Get all product codes,List,"[""products""]","[""product_code""]",[],[],[],[],Assuming 'product_code' is a column in the 'products' table.,"{""intent"": ""List"", ""tables"": [""products""], ""columns"": [""product_code""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'product_code' is a column in the 'products' table.""}"
List all countries from offices,List,"[""offices""]","[""country""]",[],[],[],[],Assuming 'country' is a column in the 'offices' table.,"{""intent"": ""List"", ""tables"": [""offices""], ""columns"": [""country""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'country' is a column in the 'offices' table.""}"
Show all order statuses,List,"[""orders""]","[""status""]",[],[],[],[],Assuming 'status' is a column in the 'orders' table that contains the order statuses.,"{""intent"": ""List"", ""tables"": [""orders""], ""columns"": [""status""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'status' is a column in the 'orders' table that contains the order statuses.""}"
Get all payment amounts,List,"[""payments""]","[""amount""]",[],[],[],[],Assuming 'payments' is the table containing payment information and 'amount' is the column for payment amounts.,"{""intent"": ""List"", ""tables"": [""payments""], ""columns"": [""amount""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'payments' is the table containing payment information and 'amount' is the column for payment amounts.""}"
List all job titles,List,"[""jobs""]","[""job_title""]",[],[],[],[],Assuming job titles are stored in a table named 'jobs' and the relevant column is 'job_title'.,"{""intent"": ""List"", ""tables"": [""jobs""], ""columns"": [""job_title""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming job titles are stored in a table named 'jobs' and the relevant column is 'job_title'.""}"
Get customer phone numbers,List,"[""customers""]","[""phone_number""]",[],[],[],[],Assuming 'customers' is the table containing customer information and 'phone_number' is the relevant column.,"{""intent"": ""List"", ""tables"": [""customers""], ""columns"": [""phone_number""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'customers' is the table containing customer information and 'phone_number' is the relevant column.""}"
Show product MSRP values,List,"[""products""]","[""msrp""]",[],[],[],[],Assuming 'MSRP' refers to the manufacturer's suggested retail price of products in a 'products' table.,"{""intent"": ""List"", ""tables"": [""products""], ""columns"": [""msrp""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'MSRP' refers to the manufacturer's suggested retail price of products in a 'products' table.""}"
List order numbers,List,"[""orders""]","[""order_number""]",[],[],[],[],Assuming 'order_number' is a column in the 'orders' table.,"{""intent"": ""List"", ""tables"": [""orders""], ""columns"": [""order_number""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'order_number' is a column in the 'orders' table.""}"
Get orders with customer names,List,"[""orders"", ""customers""]","[""orders.order_id"", ""customers.customer_name""]",[],"[""orders.customer_id = customers.customer_id""]",[],[],Assuming 'orders' table has a foreign key 'customer_id' that relates to 'customers' table.,"{""intent"": ""List"", ""tables"": [""orders"", ""customers""], ""columns"": [""orders.order_id"", ""customers.customer_name""], ""filters"": [], ""joins"": [""orders.customer_id = customers.customer_id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'orders' table has a foreign key 'customer_id' that relates to 'customers' table.""}"
Get employees with office city,List,"[""employees""]","[""office_city""]",[],[],[],[],Assuming 'employees' table contains a column 'office_city'.,"{""intent"": ""List"", ""tables"": [""employees""], ""columns"": [""office_city""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'employees' table contains a column 'office_city'.""}"
Get payments with customer names,List,"[""payments"", ""customers""]","[""payments.*"", ""customers.name""]",[],"[""payments.customer_id = customers.id""]",[],[],Assuming 'payments' table has a foreign key 'customer_id' referencing 'customers' table.,"{""intent"": ""List"", ""tables"": [""payments"", ""customers""], ""columns"": [""payments.*"", ""customers.name""], ""filters"": [], ""joins"": [""payments.customer_id = customers.id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'payments' table has a foreign key 'customer_id' referencing 'customers' table.""}"
Get order details with product names,List,"[""orders"", ""products""]","[""order_details"", ""product_name""]",[],"[""orders.product_id = products.id""]",[],[],Assuming 'order_details' refers to columns in the 'orders' table and 'product_name' is in the 'products' table.,"{""intent"": ""List"", ""tables"": [""orders"", ""products""], ""columns"": [""order_details"", ""product_name""], ""filters"": [], ""joins"": [""orders.product_id = products.id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'order_details' refers to columns in the 'orders' table and 'product_name' is in the 'products' table.""}"
Get products with product line description,List,"[""products"", ""product_lines""]","[""products.product_id"", ""products.product_name"", ""product_lines.description""]",[],"[""products.product_line_id = product_lines.product_line_id""]",[],[],Assuming a relationship between products and product_lines based on product_line_id.,"{""intent"": ""List"", ""tables"": [""products"", ""product_lines""], ""columns"": [""products.product_id"", ""products.product_name"", ""product_lines.description""], ""filters"": [], ""joins"": [""products.product_line_id = product_lines.product_line_id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming a relationship between products and product_lines based on product_line_id.""}"
Get customers with sales rep names,List,"[""customers"", ""sales_reps""]","[""customer_name"", ""sales_rep_name""]",[],"[""customers.sales_rep_id = sales_reps.id""]",[],[],Assuming 'sales_rep_name' refers to a column in the 'sales_reps' table and that 'sales_rep_id' is the foreign key in the 'customers' table.,"{""intent"": ""List"", ""tables"": [""customers"", ""sales_reps""], ""columns"": [""customer_name"", ""sales_rep_name""], ""filters"": [], ""joins"": [""customers.sales_rep_id = sales_reps.id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'sales_rep_name' refers to a column in the 'sales_reps' table and that 'sales_rep_id' is the foreign key in the 'customers' table.""}"
Get orders with customer city,List,"[""orders"", ""customers""]","[""orders.*"", ""customers.city""]",[],"[""orders.customer_id = customers.id""]",[],[],Assuming 'customer_id' in 'orders' table relates to 'id' in 'customers' table.,"{""intent"": ""List"", ""tables"": [""orders"", ""customers""], ""columns"": [""orders.*"", ""customers.city""], ""filters"": [], ""joins"": [""orders.customer_id = customers.id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'customer_id' in 'orders' table relates to 'id' in 'customers' table.""}"
Get employees and their manager,List,"[""employees""]","[""employee_id"", ""employee_name"", ""manager_id"", ""manager_name""]",[],"[""employees.manager_id = managers.employee_id""]",[],[],Assuming there is a separate managers table or that manager details are in the employees table.,"{""intent"": ""List"", ""tables"": [""employees""], ""columns"": [""employee_id"", ""employee_name"", ""manager_id"", ""manager_name""], ""filters"": [], ""joins"": [""employees.manager_id = managers.employee_id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a separate managers table or that manager details are in the employees table.""}"
Get orderdetails with product vendor,List,"[""order_details"", ""product_vendors""]","[""*""]",[],"[""order_details.product_id = product_vendors.product_id""]",[],[],Assuming 'product vendor' refers to a related table that contains vendor information linked by product_id.,"{""intent"": ""List"", ""tables"": [""order_details"", ""product_vendors""], ""columns"": [""*""], ""filters"": [], ""joins"": [""order_details.product_id = product_vendors.product_id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'product vendor' refers to a related table that contains vendor information linked by product_id.""}"
Get payments with customer country,List,"[""payments"", ""customers""]","[""payments.*"", ""customers.country""]",[],"[""payments.customer_id = customers.id""]",[],[],Assuming 'payments' table has a foreign key 'customer_id' referencing 'customers' table.,"{""intent"": ""List"", ""tables"": [""payments"", ""customers""], ""columns"": [""payments.*"", ""customers.country""], ""filters"": [], ""joins"": [""payments.customer_id = customers.id""], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'payments' table has a foreign key 'customer_id' referencing 'customers' table.""}"
Count customers per country,Count,"[""customers""]","[""country""]",[],[],"[""country""]",[],Assuming 'customers' table contains a 'country' column.,"{""intent"": ""Count"", ""tables"": [""customers""], ""columns"": [""country""], ""filters"": [], ""joins"": [], ""group_by"": [""country""], ""order_by"": [], ""notes"": ""Assuming 'customers' table contains a 'country' column.""}"
Total payments per customer,Calculate,"[""payments"", ""customers""]","[""customer_id"", ""total_payment""]",[],"[""payments.customer_id = customers.id""]","[""customer_id""]",[],Assuming 'payments' table contains payment records and 'customers' table contains customer details.,"{""intent"": ""Calculate"", ""tables"": [""payments"", ""customers""], ""columns"": [""customer_id"", ""total_payment""], ""filters"": [], ""joins"": [""payments.customer_id = customers.id""], ""group_by"": [""customer_id""], ""order_by"": [], ""notes"": ""Assuming 'payments' table contains payment records and 'customers' table contains customer details.""}"
Number of orders per status,Count,"[""orders""]","[""status""]",[],[],"[""status""]",[],Assuming 'orders' is the table containing order data and 'status' is a column representing the order status.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""status""], ""filters"": [], ""joins"": [], ""group_by"": [""status""], ""order_by"": [], ""notes"": ""Assuming 'orders' is the table containing order data and 'status' is a column representing the order status.""}"
Products per product line,Count,"[""products""]","[""product_line""]",[],[],"[""product_line""]",[],Assuming we want to count the number of products in each product line.,"{""intent"": ""Count"", ""tables"": [""products""], ""columns"": [""product_line""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [], ""notes"": ""Assuming we want to count the number of products in each product line.""}"
Employees per office,Count,"[""employees""]","[""office_id""]",[],[],"[""office_id""]",[],Assuming 'employees' table contains an 'office_id' column to group by offices.,"{""intent"": ""Count"", ""tables"": [""employees""], ""columns"": [""office_id""], ""filters"": [], ""joins"": [], ""group_by"": [""office_id""], ""order_by"": [], ""notes"": ""Assuming 'employees' table contains an 'office_id' column to group by offices.""}"
Total stock per product vendor,Calculate,"[""products"", ""vendors""]","[""vendor_id"", ""total_stock""]",[],"[""products.vendor_id = vendors.id""]","[""vendor_id""]",[],Assuming total_stock is a calculated field summing stock quantities from the products table.,"{""intent"": ""Calculate"", ""tables"": [""products"", ""vendors""], ""columns"": [""vendor_id"", ""total_stock""], ""filters"": [], ""joins"": [""products.vendor_id = vendors.id""], ""group_by"": [""vendor_id""], ""order_by"": [], ""notes"": ""Assuming total_stock is a calculated field summing stock quantities from the products table.""}"
Average buy price per product line,Calculate,"[""products""]","[""product_line"", ""buy_price""]",[],[],"[""product_line""]",[],Assuming 'buy_price' is the price of products and 'product_line' categorizes them.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""product_line"", ""buy_price""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [], ""notes"": ""Assuming 'buy_price' is the price of products and 'product_line' categorizes them.""}"
Orders per customer,Count,"[""orders""]","[""customer_id""]",[],[],"[""customer_id""]",[],Assuming 'orders' table contains a 'customer_id' column to group by.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""customer_id""], ""filters"": [], ""joins"": [], ""group_by"": [""customer_id""], ""order_by"": [], ""notes"": ""Assuming 'orders' table contains a 'customer_id' column to group by.""}"
Max MSRP per product line,Calculate,"[""products""]","[""msrp"", ""product_line""]",[],[],"[""product_line""]","[""msrp DESC""]",Assuming 'msrp' refers to the maximum Manufacturer's Suggested Retail Price for each product line.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""msrp"", ""product_line""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [""msrp DESC""], ""notes"": ""Assuming 'msrp' refers to the maximum Manufacturer's Suggested Retail Price for each product line.""}"
Min buy price per vendor,Calculate,"[""vendors"", ""products""]","[""vendor_id"", ""min_buy_price""]",[],"[""vendors.vendor_id = products.vendor_id""]","[""vendor_id""]",[],Assuming 'min_buy_price' refers to the minimum price of products bought from each vendor.,"{""intent"": ""Calculate"", ""tables"": [""vendors"", ""products""], ""columns"": [""vendor_id"", ""min_buy_price""], ""filters"": [], ""joins"": [""vendors.vendor_id = products.vendor_id""], ""group_by"": [""vendor_id""], ""order_by"": [], ""notes"": ""Assuming 'min_buy_price' refers to the minimum price of products bought from each vendor.""}"
Total number of customers,Count,"[""customers""]",[],[],[],[],[],Assuming there is a table named 'customers' that contains customer records.,"{""intent"": ""Count"", ""tables"": [""customers""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'customers' that contains customer records.""}"
Total number of products,Count,"[""products""]",[],[],[],[],[],Assuming there is a table named 'products' that contains the product information.,"{""intent"": ""Count"", ""tables"": [""products""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'products' that contains the product information.""}"
Total revenue from payments,Calculate,"[""payments""]","[""total_revenue""]",[],[],[],[],Assuming 'total_revenue' is a calculated field based on payment amounts in the 'payments' table.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""total_revenue""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'total_revenue' is a calculated field based on payment amounts in the 'payments' table.""}"
Average product price,Calculate,"[""products""]","[""price""]",[],[],[],[],Assuming 'price' is the column representing product prices in the 'products' table.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""price""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'price' is the column representing product prices in the 'products' table.""}"
Max payment amount,Calculate,"[""payments""]","[""amount""]",[],[],[],[],Assuming 'payments' is the table containing payment records and 'amount' is the column representing payment amounts.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""amount""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'payments' is the table containing payment records and 'amount' is the column representing payment amounts.""}"
Min payment amount,Calculate,"[""payments""]","[""amount""]",[],[],[],[],Assuming the user wants to find the minimum payment amount from a 'payments' table.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""amount""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming the user wants to find the minimum payment amount from a 'payments' table.""}"
Count total orders,Count,"[""orders""]","[""order_id""]",[],[],[],[],Assuming 'orders' is the table containing order records and 'order_id' is the primary key for counting total orders.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""order_id""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'orders' is the table containing order records and 'order_id' is the primary key for counting total orders.""}"
Total quantity in stock,Calculate,"[""inventory""]","[""quantity""]",[],[],[],[],Assuming there is a table named 'inventory' with a column 'quantity' representing the stock quantity.,"{""intent"": ""Calculate"", ""tables"": [""inventory""], ""columns"": [""quantity""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'inventory' with a column 'quantity' representing the stock quantity.""}"
Average MSRP,Calculate,"[""products""]","[""msrp""]",[],[],[],[],Assuming MSRP refers to the Manufacturer's Suggested Retail Price in a products table.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""msrp""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming MSRP refers to the Manufacturer's Suggested Retail Price in a products table.""}"
Number of employees,Count,"[""employees""]",[],[],[],[],[],Assuming there is a table named 'employees' that contains employee records.,"{""intent"": ""Count"", ""tables"": [""employees""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'employees' that contains employee records.""}"
